name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,distance
Philadelphia International Airport,US,PA,72408,KPHL,39.8667,-75.2333,6.0,America/New_York,1973-01-01,2025-04-23,1940-07-01,2025-04-20,1940-01-01,2022-01-01,10721.254538772962
Philadelphia / Ashton Wooden Bridge,US,PA,,KPNE,40.0819,-75.0106,37.0,America/New_York,1973-01-01,2025-04-23,1973-01-02,2022-04-24,2005-01-01,2021-01-01,19984.44061189309
Trenton / Altura,US,NJ,,KTTN,40.2767,-74.8135,65.0,America/New_York,1973-01-01,2025-04-23,1975-07-10,2022-04-24,2005-01-01,2021-01-01,47315.40219483458
Wilmington / Duross Heights,US,DE,72418,KILG,39.6787,-75.6066,24.0,America/New_York,1942-08-01,2025-04-23,1931-04-16,2025-04-20,1943-01-01,2022-01-01,47964.97005153966
Wrightstown / Pointville,US,NJ,,KWRI,40.0156,-74.5917,40.0,America/New_York,1942-08-01,2025-04-23,1942-08-12,2022-04-24,1942-01-01,2021-01-01,49809.068544670656
Millville / Farmingdale,US,NJ,,KMIV,39.3678,-75.0722,26.0,America/New_York,1973-01-01,2025-04-23,1973-01-02,2022-04-24,1999-01-01,2021-01-01,65276.78122793113
Lakehurst Naval Air Station,US,NJ,72409,KNEL,40.0333,-74.3167,31.0,America/New_York,1973-01-01,2025-04-23,1973-01-01,2022-04-21,2010-01-01,2021-01-01,73280.64300816137
Reading Wbo City / Wyomissing,US,PA,,KRDG,40.3333,-75.9667,88.0,America/New_York,1990-03-14,2025-04-23,1999-02-19,2022-04-24,2005-01-01,2021-01-01,80017.20125277036
Lehigh Valley International  Airport,US,PA,72517,KABE,40.65,-75.45,120.0,America/New_York,1973-01-01,2025-04-23,1948-01-01,2025-04-20,1948-01-01,2022-01-01,81377.71277378453
Belmar / Carmerville,US,NJ,,KBLM,40.1868,-74.1246,47.0,America/New_York,1983-04-21,2025-04-23,1992-04-17,2022-04-24,2020-01-01,2022-01-01,92772.57222988944
Atlantic City International,US,NJ,72407,KACY,39.4667,-74.0833,23.0,America/New_York,1947-01-01,2025-04-23,1947-01-01,2025-04-21,1947-01-01,2022-01-01,107374.37923426848
Newark Airport,US,NJ,72502,KEWR,40.6833,-74.0,5.0,America/New_York,1973-01-01,2025-04-23,1893-01-01,2025-04-20,1893-01-01,2022-01-01,128406.2605600333
Teterboro,US,NJ,,KTEB,40.8501,-74.0608,3.0,America/New_York,1973-01-01,2025-04-23,1973-01-01,2022-04-24,2005-01-01,2022-01-01,137254.28230858783
New York City / Yorkville,US,NY,,KNYC,40.7789,-73.9692,3.0,America/New_York,1943-12-01,2025-04-23,1943-12-02,2022-04-24,1944-01-01,2021-01-01,137276.31742394032
John F. Kennedy Airport,US,NY,74486,KJFK,40.6333,-73.7667,4.0,America/New_York,1973-01-01,2025-04-23,1948-07-17,2025-04-20,1948-01-01,2022-01-01,141202.47678213648
Baltimore,US,MD,,KDMH,39.2833,-76.6167,6.0,America/New_York,1999-01-14,2025-04-23,1999-07-02,2020-06-03,1999-01-01,2020-01-01,144398.5567833874
Harrisburg / New Market,US,PA,72511,KCXY,40.2171,-76.8515,106.0,America/New_York,1991-01-01,2025-04-23,1939-01-01,2025-04-20,1939-01-01,2022-01-01,146103.2607217781
Wilkes-Barre/Scranton International,US,PA,72513,KAVP,41.3333,-75.0667,293.0,America/New_York,1973-01-01,2025-04-23,1949-01-01,2025-04-20,1949-01-01,2022-01-01,154062.64576029486
Baltimore-Washington International,US,MD,72406,KBWI,39.1667,-76.6833,45.0,America/New_York,1945-01-01,2025-04-23,1939-07-01,2025-04-20,1939-01-01,2022-01-01,156255.36080092337
Fort Meade / Ft Meade / Portland Station (Historical),US,MD,,KFME,39.0854,-76.7594,46.0,America/New_York,1959-11-13,2025-04-23,1959-11-14,2022-04-24,1959-01-01,2022-01-01,166820.09568945388
Selinsgrove / Dogtown,US,PA,,KSEG,40.8212,-76.8642,141.0,America/New_York,1999-01-14,2025-04-23,1999-01-16,2022-04-24,2005-01-01,2021-01-01,173127.33128044975
White Plains / Sarosca Farm Estates,US,NY,,KHPN,41.0669,-73.7076,134.0,America/New_York,1973-01-01,2025-04-23,1973-01-02,2022-04-24,1974-01-01,2021-01-01,175236.43871175146
Camp Springs / Andrews Air Force Base,US,MD,74594,KADW,38.8167,-76.85,86.0,America/New_York,1943-06-19,2025-04-23,1943-07-04,2022-04-25,1943-01-01,2021-01-01,191638.32417058715
Islip / Lakeland,US,NY,72505,KISP,40.7953,-73.1002,30.0,America/New_York,1973-01-01,2025-04-23,1963-09-05,2025-04-20,1963-01-01,2022-01-01,198936.441338542
Nas Patuxent River Md,US,MD,72404,KNHK,38.3,-76.0667,12.0,America/New_York,1945-03-01,2025-04-23,1945-03-01,2025-04-20,1945-01-01,2022-01-01,199107.32866857538
Washington National Airport,US,DC,72405,KDCA,38.85,-77.0333,5.0,America/New_York,1936-09-01,2025-04-23,1936-09-01,2025-04-21,1936-01-01,2022-01-01,201470.26717581114
LaGuardia Airport,US,NY,72503,KLGA,40.7833,-73.05,7.0,America/New_York,1973-01-01,2025-04-23,1939-10-07,2025-04-20,1939-01-01,2022-01-01,202093.0847220091
Williamsport-Lycoming County,US,PA,72514,KIPT,41.25,-76.9167,161.0,America/New_York,1973-01-01,2025-04-23,1901-01-30,2025-04-20,1948-01-01,2022-01-01,206492.23903068466
Poughkeepsie  /  New Hackensack,US,NY,,KPOU,41.6266,-73.8842,50.0,America/New_York,1973-01-01,2025-04-23,1973-01-04,2022-04-24,1974-01-01,2022-01-01,215571.51681474177
Sikorsky Memorial Airport,US,CT,72504,KBDR,41.1667,-73.1333,3.0,America/New_York,1942-12-08,2025-04-23,1942-12-08,2025-04-21,1943-01-01,2022-01-01,218868.26712283556
Wallops Flight Fac Airport,US,VA,72402,KWAL,37.9333,-75.4667,12.0,America/New_York,1973-01-01,2025-04-23,1966-10-01,2025-04-20,1966-01-01,2022-01-01,225709.73379769214
Dulles International Airport,US,VA,72403,KIAD,38.9333,-77.45,95.0,America/New_York,1973-01-01,2025-04-23,1960-04-01,2025-04-20,1961-01-01,2022-01-01,226073.63554842724
Westhampton Beach / Suffolk Pines,US,NY,,KFOK,40.8437,-72.6318,20.0,America/New_York,1943-07-18,2025-04-23,1943-09-08,2022-04-24,1943-01-01,2021-01-01,236790.26686301426
New Haven / Morris Cove,US,CT,,KHVN,41.2638,-72.8868,4.0,America/New_York,1973-01-01,2025-04-23,2004-01-01,2022-04-24,2005-01-01,2021-01-01,241836.01803098602
Quantico,US,VA,,KNYG,38.5036,-77.305,3.0,America/New_York,1973-01-01,2025-04-23,1973-01-02,2022-04-24,1984-01-01,2021-01-01,244295.37063308124
Martinsburg / Grubbs Corner,US,WV,,KMRB,39.4019,-77.9847,172.0,America/New_York,1973-01-01,2025-04-23,1973-01-01,2022-04-24,2001-01-01,2022-01-01,248468.69777537193
Binghamton Regional Airport,US,NY,72515,KBGM,42.2,-75.15,499.0,America/New_York,1973-01-01,2025-04-23,1951-05-25,2025-04-20,1951-01-01,2022-01-01,250194.1994952983
Altoona / Martinsburg,US,PA,,KAOO,40.2964,-78.32,458.0,America/New_York,1973-01-01,2025-04-23,1973-01-01,2022-04-24,1999-01-01,2022-01-01,270573.45319281105
Elmira / Big Flats Airport,US,NY,,KELM,42.1599,-76.8916,291.0,America/New_York,1973-01-01,2025-04-23,1973-01-01,2022-04-24,2005-01-01,2021-01-01,284978.18964368716
Hartford / Colonial Mobile Home Park,US,CT,,KHFD,41.7367,-72.6494,6.0,America/New_York,1974-01-01,2025-04-23,1979-06-22,2022-04-24,2005-01-01,2022-01-01,290538.33571534546
Bradley International Airport,US,CT,72508,KBDL,41.9333,-72.6833,53.0,America/New_York,1941-09-12,2025-04-23,1942-01-08,2025-04-21,1942-01-01,2022-01-01,303716.2297919184
Groton / Midway,US,CT,,KGON,41.3301,-72.0451,3.0,America/New_York,1943-01-19,2025-04-23,1943-01-20,2022-04-24,1943-01-01,2021-01-01,305045.5876013359
Johnstown / Wissingertown,US,PA,,KJST,40.3161,-78.8339,696.0,America/New_York,1973-01-01,2025-04-23,1991-03-23,2022-04-24,2005-01-01,2021-01-01,314108.34545086103
Westfield / Owen District,US,MA,,KBAF,42.1577,-72.7156,82.0,America/New_York,1973-01-05,2025-04-23,1998-08-08,2022-04-24,2005-01-01,2022-01-01,320309.95229720074
Richmond International  Airport,US,VA,72401,KRIC,37.5167,-77.3167,51.0,America/New_York,1942-09-24,2025-04-23,1939-03-01,2025-04-20,1939-01-01,2022-01-01,328425.5567384535
Block Island / New Shoreham Center,US,RI,,KBID,41.1681,-71.5778,33.0,America/New_York,1990-01-01,2025-04-23,1990-01-01,2022-04-24,1990-01-01,2021-01-01,332284.2167057989
Chicopee Falls / Westover Air Force Base,US,MA,74491,KCEF,42.2,-72.5333,75.0,America/New_York,1941-04-01,2025-04-23,1941-06-06,2022-04-25,1941-01-01,2021-01-01,333795.84721192677
Newport News Airport,US,VA,,KPHF,37.1319,-76.493,13.0,America/New_York,2000-01-01,2025-04-23,2000-01-14,2025-04-09,2000-01-01,2022-01-01,333804.4429130893
Langley Air Force Base,US,VA,74598,KLFI,37.0833,-76.35,3.0,America/New_York,1936-10-01,2025-04-23,1918-11-01,2022-04-25,1918-01-01,2021-01-01,334876.9199709264
Fort Eustis / Hoopes Landing,US,VA,,KFAF,37.1325,-76.6088,3.0,America/New_York,1960-11-01,2025-04-23,1960-11-02,2022-04-24,1960-01-01,2020-01-01,337344.22727892734
Schenectady / Stoodley Corners,US,NY,,KSCH,42.8525,-73.9289,115.0,America/New_York,1981-04-21,2025-04-21,,,,,338926.30024252663
Du Bois / Allens Mills,US,PA,,KDUJ,41.1783,-78.8987,554.0,America/New_York,1973-01-01,2025-04-23,1973-01-01,2022-04-24,2005-01-01,2022-01-01,343270.7285158412
Charlottesville / Deerwood,US,VA,,KCHO,38.1386,-78.4529,195.0,America/New_York,1973-01-01,2025-04-23,1973-01-02,2022-04-24,2005-01-01,2022-01-01,347736.15723078523
Norfolk / Granby Shores,US,VA,69536,KNGU,36.93,-76.27,5.0,America/New_York,2001-06-27,2025-04-23,2022-04-20,2022-04-24,,,349198.5300585133
Norfolk International Airport,US,VA,72308,KORF,36.9,-76.2,8.0,America/New_York,1973-01-01,2025-04-23,1946-01-01,2025-04-20,1946-01-01,2022-01-01,350805.05148639105
Albany International Airport,US,NY,72518,KALB,42.75,-73.1333,87.0,America/New_York,1946-01-01,2025-04-23,1938-06-01,2025-04-20,1938-01-01,2022-01-01,354709.3916245086
Virginia Beach / Gatewood Park,US,VA,,KNTU,36.8227,-76.0319,7.0,America/New_York,1973-01-01,2025-04-23,1973-01-01,2022-04-24,1974-01-01,2021-01-01,355756.01755812624
"Verona, Ny. Af",US,NY,74480,KRME,43.1333,-75.6,0.0,America/New_York,1942-07-01,2025-04-23,1942-07-02,2022-04-25,1942-01-01,2022-01-01,355769.773645305
Bradford / Mount Alton,US,PA,,KBFD,41.8031,-78.6401,653.0,America/New_York,1973-01-01,2025-04-23,1973-01-01,2022-04-24,1981-01-01,2022-01-01,357133.86800373194
Syracuse Hancock International  Airport,US,NY,72519,KSYR,43.1167,-76.1,125.0,America/New_York,1942-10-01,2025-04-23,1938-05-01,2025-04-20,1938-01-01,2022-01-01,360522.40245910216
Providence Green State Airport,US,RI,72507,KPVD,41.7333,-71.4333,17.0,America/New_York,1942-08-01,2025-04-23,1942-08-01,2025-04-21,1942-01-01,2022-01-01,371599.90822369227
Worcester / West Tatnuck,US,MA,72510,KORH,42.2673,-71.8757,308.0,America/New_York,1973-01-01,2025-04-23,1948-06-01,2025-04-20,1948-01-01,2022-01-01,377529.13737581193
Orange / Partridgeville,US,MA,,KORE,42.5701,-72.2886,169.0,America/New_York,1996-08-09,2025-04-23,1996-08-11,2022-04-24,2005-01-01,2022-01-01,377955.1706818155
Franklin / Lees Mill,US,VA,,KFKN,36.6981,-76.9038,12.0,America/New_York,1994-10-16,2025-04-23,1994-10-30,2022-04-24,2010-01-01,2022-01-01,391928.59045112354
Glens Falls / Dix Mobile Home Park,US,NY,72522,KGFL,43.3412,-73.6103,100.0,America/New_York,1973-01-01,2025-04-23,1944-05-01,2025-04-20,1944-01-01,2022-01-01,398712.36437978095
Ft Pickett / Blackstone,US,VA,,KBKT,37.0743,-77.9573,133.0,America/New_York,1943-06-01,2025-04-23,1943-06-02,2022-04-25,2020-01-01,2022-01-01,401275.5604209161
Fitchburg / West Leominster,US,MA,,KFIT,42.5541,-71.759,106.0,America/New_York,1999-01-14,2025-04-23,1999-01-16,2022-04-24,2005-01-01,2021-01-01,406327.7155218399
Morgantown / Easton,US,WV,,KMGW,39.6429,-79.9163,379.0,America/New_York,1973-01-01,2025-04-23,1973-01-01,2022-04-24,1974-01-01,2021-01-01,406880.16174289933
Greater Rochester International,US,NY,72529,KROC,43.1167,-77.6833,170.0,America/New_York,1973-01-01,2025-04-23,1926-01-02,2025-04-20,1926-01-01,2022-01-01,409528.21925374394
Jennings Randolph Field,US,WV,72417,KEKN,38.8833,-79.85,606.0,America/New_York,1973-01-01,2025-04-23,1926-01-01,2025-04-20,1926-01-01,2022-01-01,419100.6014840533
Elizabeth City / Hickory Village - Mobile Home Park,US,NC,72307,KECG,36.2606,-76.1746,3.0,America/New_York,1990-03-14,2025-04-23,1948-09-01,2025-04-20,1948-01-01,2022-01-01,419544.4882926378
Greater Pittsburgh International,US,PA,72520,KPIT,40.4833,-80.0667,367.0,America/New_York,1945-02-01,2025-04-23,1945-02-01,2025-04-21,1945-01-01,2022-01-01,419926.4347543793
Franklin / Mapledale,US,PA,,KFKL,41.3779,-79.8604,469.0,America/New_York,1973-01-01,2025-04-23,1991-09-20,2022-04-24,2007-01-01,2022-01-01,426215.8125509371
Boston Logan International,US,MA,72509,KBOS,42.3667,-71.0167,6.0,America/New_York,1943-11-21,2025-04-23,1936-01-01,2025-04-20,1936-01-01,2022-01-01,439352.1600997086
Buffalo Airport,US,NY,72528,KBUF,42.9333,-78.7333,221.0,America/New_York,1942-02-01,2025-04-23,1938-05-01,2025-04-20,1938-01-01,2022-01-01,445179.39503060514
Cook Corners,US,NY,74498,KDKK,42.5,-79.28,211.0,America/New_York,1999-01-14,2025-04-23,1999-01-17,2022-04-25,2005-01-01,2022-01-01,445492.13199545705
Watertown / Breezy Knoll Mobile Home Park,US,NY,,KART,43.9919,-76.0217,100.0,America/New_York,1949-05-01,2025-04-23,1949-05-05,2022-04-24,1949-01-01,2022-01-01,454913.0611851356
Nantucket / Surfside,US,MA,74493,KACK,41.2531,-70.0603,14.0,America/New_York,1990-03-14,2025-04-23,1997-06-23,2022-04-25,2005-01-01,2021-01-01,454986.2108081504
Lynchburg Regional Airport,US,VA,72410,KLYH,37.3167,-79.2,286.0,America/New_York,1973-01-01,2025-04-23,1944-08-01,2025-04-20,1944-01-01,2022-01-01,456277.2621618158
Point Petre,CA,ON,71430,CWQP,43.83,-77.15,79.0,America/Toronto,1977-06-11,2025-04-23,1980-10-26,2024-04-28,1993-01-01,2022-01-01,461479.7007854457
Port Colborne,CA,ON,71463,CWPC,42.87,-79.25,184.0,America/Toronto,1986-01-02,2024-10-17,1986-05-07,2023-01-22,1996-01-01,2022-01-01,470203.4026826607
Niagara Falls / Walmore,US,NY,,KIAG,43.1073,-78.9462,180.0,America/New_York,1951-06-12,2025-04-23,1951-06-13,2022-04-24,1951-01-01,2022-01-01,471132.8445809766
"Concord, Concord Municipal Airport",US,NH,72605,KCON,43.1833,-71.5,105.0,America/New_York,1973-01-01,2025-04-23,1939-04-01,2025-04-20,1939-01-01,2022-01-01,471576.5029412122
Lebanon / West Lebanon,US,NH,72611,KLEB,43.6261,-72.3042,184.0,America/New_York,1993-01-01,2025-04-23,1993-01-03,2022-04-25,2005-01-01,2022-01-01,472726.3855757675
Erie International Airport,US,PA,72526,KERI,42.0833,-80.1833,223.0,America/New_York,1973-01-01,2025-04-23,1926-01-01,2025-04-20,1926-01-01,2022-01-01,482769.36027038144
Youngstown-Warren Reg Airprt,US,OH,72525,KYNG,41.25,-80.6667,365.0,America/New_York,1948-01-01,2025-04-23,1934-08-01,2025-04-20,1934-01-01,2022-01-01,485960.4571827311
Kingston,CA,ON,71620,CYGK,44.2167,-76.6,93.0,America/Toronto,1982-01-01,2025-04-23,1988-04-11,2022-04-25,,,488869.27889034426
St Catharines / Port Weller,CA,ON,71262,CYSN,43.2,-79.1667,98.0,America/Toronto,1983-12-22,2025-04-23,1971-06-22,2022-03-23,1971-01-01,2000-01-01,490925.8162642533
Port Weller,CA,ON,71432,CWWZ,43.25,-79.22,79.0,America/Toronto,1977-06-11,2025-04-23,1983-07-09,2024-04-28,1995-01-01,2022-01-01,497926.0300944072
Long Point,CA,ON,71464,CWPS,42.53,-80.05,175.0,America/Toronto,1986-01-09,2023-03-14,1986-05-02,2019-10-15,1996-01-01,2019-01-01,498655.1515374849
Grenadier Island,CA,ON,71281,CWGH,44.42,-75.85,82.0,America/Toronto,1994-12-01,2025-04-23,1994-12-30,2024-04-28,1995-01-01,2022-01-01,500183.5799397551
Trenton Airport,CA,ON,71621,CYTR,44.12,-77.53,86.0,America/Toronto,1955-07-03,2025-04-23,1935-01-03,2024-04-28,1935-01-01,2022-01-01,502922.59047551465
Roanoke Regional Airport,US,VA,72411,KROA,37.3167,-79.9667,358.0,America/New_York,1973-01-01,2025-04-23,1948-01-01,2025-04-20,1948-01-01,2022-01-01,509118.54417649383
Cobourg,CA,ON,71431,CWNC,43.95,-78.17,78.0,America/Toronto,1977-06-11,2025-04-23,1980-09-11,2024-04-17,1993-01-01,2022-01-01,509204.2401557601
Montpelier / Berlin Corners,US,VT,,KMPV,44.2035,-72.5623,355.0,America/New_York,1973-01-01,2025-04-23,1973-01-02,2022-04-24,1999-01-01,2022-01-01,519560.3975970076
Danville / Green Acres,US,VA,,KDAN,36.5729,-79.3361,174.0,America/New_York,1973-01-01,2025-04-23,1994-06-10,2022-04-24,2004-01-01,2022-01-01,522673.1860062931
Hatteras / Frisco,US,NC,,KHSE,35.2328,-75.6178,5.0,America/New_York,1996-01-01,2025-04-23,1996-01-01,2022-04-24,1996-01-01,2021-01-01,526008.1978937729
Ogdensburg / Morley Mobile Home Park,US,NY,,KOGS,44.6819,-75.4655,91.0,America/New_York,1977-05-02,2025-04-23,2016-09-15,2022-04-25,2019-01-01,2022-01-01,526722.8395048684
Burlington International,US,VT,72617,KBTV,44.4667,-73.15,102.0,America/New_York,1948-01-01,2025-04-23,1940-12-01,2025-04-20,1940-01-01,2022-01-01,529025.5531466017
Hamilton Airport,CA,ON,71263,CYHM,43.17,-79.94,238.0,America/Toronto,1993-05-20,2025-04-23,1999-11-01,2024-04-28,2000-01-01,2022-01-01,534350.7713661162
Burlington Piers,CA,ON,71437,CWWB,43.3,-79.8,77.0,America/Toronto,1991-05-01,2025-04-23,1991-05-24,2024-04-28,1995-01-01,2022-01-01,535428.6088185888
Toronto Island Airport,CA,ON,,CYTZ,43.6333,-79.4,77.0,America/Toronto,1979-05-07,2025-04-23,1957-05-01,2022-04-26,1957-01-01,2022-01-01,539029.9068344851
Parkersburg / Parkeresburg [Misspelling] / Brierwood,US,WV,,KPKB,39.3451,-81.4392,262.0,America/New_York,1990-02-08,2025-04-23,1990-02-09,2022-04-24,2001-01-01,2022-01-01,540840.4258793677
Plattsburgh / Lts Mobile Home Park,US,NY,,KPBG,44.6509,-73.4681,71.0,America/New_York,1956-01-15,2025-04-23,1956-01-16,2022-04-24,1956-01-01,2021-01-01,541095.6932772517
Akron-Canton Regional Airport,US,OH,72521,KCAK,40.9167,-81.45,374.0,America/New_York,1973-01-01,2025-04-23,1948-07-01,2025-04-20,1948-01-01,2022-01-01,542152.8190354814
Peterborough Airport,CA,ON,,CYPQ,44.2333,-78.3667,191.0,America/Toronto,1980-10-11,2025-04-23,1981-11-14,2024-04-28,2006-01-01,2022-01-01,544335.5937788273
Akron / Derby Downs,US,OH,,KAKR,41.0375,-81.4669,325.0,America/New_York,1999-08-31,2025-04-23,1999-09-02,2022-04-24,2005-01-01,2022-01-01,545896.4094173549
Raleigh-Durham International  Airport,US,NC,72306,KRDU,35.9,-78.7667,133.0,America/New_York,1945-11-01,2025-04-23,1944-05-18,2025-04-20,1944-01-01,2022-01-01,549727.9034510262
Delhi CS,CA,ON,71573,CXDI,42.87,-80.55,232.0,America/Toronto,2001-09-16,2025-04-23,1997-06-02,2025-04-19,1997-01-01,2022-01-01,553639.6591691138
Massena / Massena Center,US,NY,,KMSS,44.9358,-74.8456,68.0,America/New_York,1991-01-01,2025-04-23,1991-01-01,2022-04-24,1991-01-01,2022-01-01,555032.9342286437
Toronto Pearson International Airport,CA,ON,71624,CYYZ,43.68,-79.63,173.0,America/Toronto,1950-01-01,2025-04-23,1937-11-01,2022-12-11,1937-01-01,2022-01-01,555378.4998614142
Toronto Buttonville Airport,CA,ON,71639,CYKZ,43.86,-79.37,198.0,America/Toronto,1986-06-20,2019-01-03,1986-05-23,2019-01-02,1986-01-01,2018-01-01,556466.0589459711
Kinston / Mewborns Crossroads,US,NC,,KISO,35.3314,-77.6088,28.0,America/New_York,1973-06-08,2025-04-23,2005-01-01,2022-04-24,2020-01-01,2022-01-01,556586.7685334065
Willoughby / Woodbridge,US,OH,,KLNN,41.684,-81.3898,191.0,America/New_York,1983-11-03,2025-04-23,2015-01-09,2022-04-24,2015-01-01,2022-01-01,557631.818308034
St Johnsbury Fairbanks,US,VT,72614,K1V4,44.4167,-72.0167,212.0,America/New_York,1973-01-01,2025-04-23,1894-03-01,2025-04-20,1894-01-01,2022-01-01,560414.4922631654
New Bern / Circle L Mobile Home Park,US,NC,,KEWN,35.073,-77.0429,6.0,America/New_York,1973-01-01,2025-04-22,1973-01-01,2022-04-24,1999-01-01,2022-01-01,566859.6954762626
Raleigh County Mem Airport,US,WV,72412,KBKW,37.8,-81.1167,763.0,America/New_York,1973-01-01,2025-04-23,1963-05-15,2025-04-20,1963-01-01,2022-01-01,567429.3884491994
Goldsboro / Sandy Springs,US,NC,,KGSB,35.3394,-77.9606,33.0,America/New_York,1943-06-01,2025-04-23,1943-08-12,2022-04-24,1943-01-01,2021-01-01,568427.0762456027
Dublin / Highland Park,US,VA,,KPSK,37.1373,-80.6785,642.0,America/New_York,1994-08-18,2025-04-23,1994-08-31,2022-04-24,2010-01-01,2022-01-01,571947.0429213864
Zanesville / Georgetown,US,OH,,KZZV,39.9444,-81.8921,274.0,America/New_York,1973-01-01,2025-04-23,1973-01-01,2022-04-24,2001-01-01,2021-01-01,572897.4595749859
Yeager Airport,US,WV,72414,KCRW,38.3667,-81.6,299.0,America/New_York,1973-01-01,2025-04-23,1947-12-01,2025-04-20,1947-01-01,2022-01-01,581522.4599767575
Kitchener/waterloo,CA,ON,71368,CYKF,43.46,-80.38,322.0,America/Toronto,1993-05-20,2025-04-23,2002-10-03,2024-04-28,2008-01-01,2022-01-01,582359.0115606964
"Cherry Point, Marine Corps Air Station",US,NC,72309,KNKT,34.8833,-76.8667,8.0,America/New_York,1973-01-01,2025-04-23,1945-03-01,2025-04-20,1945-01-01,2022-01-01,582942.7213812569
Cleveland-Hopkins International,US,OH,72524,KCLE,41.4,-81.85,241.0,America/New_York,1973-01-01,2025-04-23,1938-05-01,2025-04-20,1938-01-01,2022-01-01,585782.008602246
Portland International  Jetport,US,ME,72606,KPWM,43.65,-70.1333,23.0,America/New_York,1973-01-01,2025-04-23,1940-11-07,2025-04-20,1940-01-01,2022-01-01,585938.9904751715
Port Columbus International  Airport,US,OH,72428,KCMH,40.0,-82.05,248.0,America/New_York,1945-04-01,2025-04-23,1945-04-01,2025-04-21,1945-01-01,2022-01-01,586135.4915175318
Ste-Clotilde,CA,QC,71614,CWIT,45.17,-73.68,53.0,America/Toronto,1991-11-01,2025-04-23,1991-12-06,2024-04-28,1993-01-01,2022-01-01,593096.5582457476
Frelighsburg,CA,QC,71373,CWFQ,45.03,-72.85,224.0,America/Toronto,1992-05-05,2025-04-23,1992-05-12,2024-04-28,1993-01-01,2022-01-01,595969.1252173975
Ottawa International Airport,CA,ON,71628,CYOW,45.32,-75.67,115.0,America/Toronto,1950-01-01,2025-04-23,1938-11-01,2022-12-11,1938-01-01,2022-01-01,598512.3714848539
Piedmont Triad International  Airport,US,NC,72317,KGSO,36.1,-79.95,282.0,America/New_York,1945-11-01,2025-04-23,1928-11-01,2025-04-20,1928-01-01,2022-01-01,598622.7376431093
Bluefield / Littlesburg,US,WV,,KBLF,37.2958,-81.2077,871.0,America/New_York,2000-01-01,2025-04-23,2000-11-06,2022-04-24,2001-01-01,2022-01-01,601645.6964650629
London International Airport,CA,ON,71623,CYXU,43.03,-81.15,278.0,America/Toronto,1955-07-02,2025-04-23,1982-01-03,2024-04-28,2000-01-01,2022-01-01,604226.2303460037
Ottawa CDA RCS,CA,ON,71063,CXOA,45.38,-75.72,79.0,America/Toronto,1977-07-01,2025-02-03,1977-07-01,2025-04-12,2000-01-01,2022-01-01,605456.4169491829
Swansboro / Bogue,US,NC,,KNJM,34.6905,-77.0297,7.0,America/New_York,1987-05-04,2025-04-22,1992-05-07,2022-04-24,2008-01-01,2021-01-01,607467.6438003368
Lagoon City,CA,ON,71282,CWGL,44.55,-79.22,221.0,America/Toronto,1994-12-01,2025-04-23,1995-01-09,2024-04-28,1995-01-01,2022-01-01,610346.0019055567
Bancroft,CA,ON,71294,CWRK,45.07,-77.88,331.0,America/Toronto,2001-09-16,2025-04-23,1995-06-20,2025-04-16,1995-01-01,2022-01-01,611021.1186296294
L'Acadie,CA,QC,71372,CWIZ,45.29,-73.35,44.0,America/Toronto,1992-05-05,2025-04-23,1992-05-10,2024-04-28,1994-01-01,2022-01-01,612123.4438851988
Jacksonville / Montford Point,US,NC,,KNCA,34.7084,-77.4397,8.0,America/New_York,1973-01-01,2025-04-23,1973-01-01,2022-04-24,1981-01-01,2021-01-01,616357.2439978458
Sainte-Anne-de-Bellevue,CA,QC,71377,CWVQ,45.43,-73.93,39.0,America/Toronto,1994-02-01,2025-04-23,1993-08-26,2024-04-28,1994-01-01,2022-01-01,617696.1579107201
Erieau,CA,ON,71465,CWAJ,42.25,-81.9,178.0,America/Toronto,1986-01-17,2023-06-07,1986-01-29,2022-12-13,1995-01-01,2021-01-01,618965.3314951924
Ottawa / Templeton,CA,QC,71420,CYND,45.5167,-75.5667,64.0,America/Toronto,1980-04-23,2025-04-23,1987-10-01,2022-04-21,,,619833.8289464506
Montreal International Airport,CA,QC,71627,CYUL,45.47,-73.74,36.0,America/Toronto,1955-01-01,2025-04-23,1941-09-01,2022-12-11,1941-01-01,2022-01-01,624787.1488035333
Fort Bragg / Simmons Army Airfield,US,NC,74693,KFBG,35.1333,-78.9333,74.0,America/New_York,1961-07-01,2025-04-23,1961-07-01,2022-04-25,1961-01-01,2022-01-01,629886.5191881141
Montreal McTavish,CA,QC,71612,CWTA,45.5,-73.58,73.0,America/Toronto,1994-12-01,2025-04-23,1994-07-26,2024-04-28,1995-01-01,2022-01-01,630613.3455066017
Pope Air Force Base,US,NC,72303,KPOB,35.1667,-79.0333,61.0,America/New_York,1937-07-03,2025-04-23,1937-07-08,2022-04-25,1937-01-01,2022-01-01,631395.5680823461
Montreal Saint Hubert Airport,CA,QC,71371,CYHU,45.52,-73.42,27.0,America/Toronto,1955-07-02,2025-04-23,1928-08-01,2022-12-11,1928-01-01,2022-01-01,635587.6570109233
Montreal / Mirabel,CA,QC,,CYMX,45.6667,-74.0333,82.0,America/Toronto,1956-01-01,2025-04-23,1977-07-05,2022-04-26,2005-01-01,2022-01-01,642375.7442224512
